,SWE,FNF,WYC,LP3,RCP
fgoals-g2_rcp85_r1i1p1,11.561916781879793,20.589468666643043,137.42,258.7438977270866,85
fio-esm_rcp26_r1i1p1,31.159314644430573,20.756929876575917,154.86,219.05769480358975,26
fio-esm_rcp45_r1i1p1,24.883997920178995,19.197462270924365,151.64,195.49087944322028,45
fio-esm_rcp60_r1i1p1,18.713409350612974,19.143400216298048,152.64,229.11310235862817,60
fio-esm_rcp85_r1i1p1,14.093246708481786,18.74009121661357,147.22,220.7917920283024,85
gfdl-cm3_rcp26_r1i1p1,16.32689679401129,16.297606396667227,147.6,197.9478444317737,26
gfdl-cm3_rcp45_r1i1p1,12.106823569583126,17.600770582386755,139.18,189.85061079999392,45
gfdl-cm3_rcp60_r1i1p1,11.31542094322287,15.171579620507254,149.72,182.72988671457927,60
gfdl-cm3_rcp85_r1i1p1,8.241123990478426,17.362568918179612,144.7,207.8714320933644,85
gfdl-esm2g_rcp26_r1i1p1,17.97598457653222,16.791995915510718,142.4,243.25868718495477,26
gfdl-esm2g_rcp45_r1i1p1,11.829449233296618,16.4773510248009,140.66,261.17397899354256,45
gfdl-esm2g_rcp60_r1i1p1,10.964832265968402,17.76748825413243,140.74,300.2704992439872,60
gfdl-esm2g_rcp85_r1i1p1,7.326618369064448,16.027528181816262,136.54,270.19703397431107,85
gfdl-esm2m_rcp26_r1i1p1,22.196529093314336,17.945363574037856,137.46,250.76231047169455,26
gfdl-esm2m_rcp45_r1i1p1,23.31396826012867,15.998177351736746,142.26,242.4547977351108,45
gfdl-esm2m_rcp60_r1i1p1,19.454978294776193,16.331885309482224,140.38,230.82685489230994,60
gfdl-esm2m_rcp85_r1i1p1,11.221115505226017,13.956689400496943,137.9,247.75134084229097,85
giss-e2-h-cc_rcp45_r1i1p1,28.71713446068949,21.96436022703846,145.94,209.10337100481587,45
giss-e2-r-cc_rcp45_r1i1p1,23.058698460811716,16.31541207329839,149.1,186.50317744379538,45
giss-e2-r_rcp26_r1i1p1,34.42075366072768,19.550667744002286,159.14,158.34531936414754,26
giss-e2-r_rcp45_r1i1p1,26.326685219111432,19.583298792701072,154.62,177.0893853292169,45
giss-e2-r_rcp60_r1i1p1,25.312663327051897,18.193932998624213,152.44,219.3235553867646,60
giss-e2-r_rcp85_r1i1p1,20.6226951291242,18.15931891287755,149.84,235.21353775330527,85
hadgem2-ao_rcp26_r1i1p1,18.790725169242826,16.90912861629197,147.4,198.378939949555,26
hadgem2-ao_rcp45_r1i1p1,10.95972590488713,15.42389574268732,133.8,273.1767702713143,45
hadgem2-ao_rcp60_r1i1p1,12.814753207896754,14.92917025357663,139.74,238.57328853664598,60
hadgem2-ao_rcp85_r1i1p1,5.886780833061709,15.81148382222635,137.0,246.07410676618997,85
hadgem2-cc_rcp45_r1i1p1,17.0261603241361,18.39838113117911,139.2,210.83632382523072,45
hadgem2-cc_rcp85_r1i1p1,9.066641665574732,16.65849383231733,141.0,249.6166041270531,85
