,FOL_fnf,ORO_fnf,TRR_fnf,ISB_fnf,PNF_fnf,MRC_fnf,MIL_fnf,NML_fnf,TUL_fnf,DPN_fnf,SHA_fnf,YRS_fnf,FOL_pr,ORO_pr,SHA_pr,YRS_pr,FOL_tas,ORO_tas,SHA_tas,FOL_swe,ORO_swe,SHA_swe,YRS_swe,BKL_swe,CAP_swe,CSL_swe,FOR_swe,GOL_swe,GRZ_swe,HMB_swe,HYS_swe,MED_swe,RBB_swe,RBP_swe,RTL_swe,SCN_swe,SDF_swe,STL_swe,SNM_swe
2039-10-26,107.707054,163.32602,7.5680814,16.586733,24.292063,22.955334,29.69753,32.42732,2.2589269,36.238167,348.2807,133.31079,14.958544,15.071874,16.265404,23.72934,289.7276,289.3113,286.96222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-27,113.732506,142.57835,7.709525999999999,15.562479999999999,25.63177,23.895962,28.570776000000002,38.962906,2.2004426,41.586296000000004,266.82217,93.53594,4.336671,1.8272573,1.5445492,2.5445178,288.62613,288.02515,285.2713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-28,72.20045,104.01203000000001,7.948046700000001,14.843278,27.765396000000003,23.535551,29.886228999999997,34.142956,2.211934,38.867607,203.92395,58.837166,0.14535625,0.08897664,0.011479042,0.12523301,287.9057,288.00815,286.56332000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-29,677.05927,320.78665,86.74025999999999,111.629166,304.02524,145.7543,284.69482,139.47737,40.3556,238.53442,317.54263,368.13937000000004,66.0068,31.067604,13.716585999999998,57.142596999999995,290.26306,288.87292,285.77844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-30,1206.714,1290.3372,479.74472000000003,365.79483,1285.4966,345.56143,990.19855,520.65796,291.67114,810.28955,1117.29,893.92365,67.5646,60.032574,34.132015,76.592545,291.88027999999997,290.75482,288.63498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-31,588.3668,481.13885,149.67803999999998,184.4781,405.37372,285.53787,540.2622700000001,255.19002000000003,112.11639,599.9896,647.3028,336.38785,16.699162,6.013751999999999,10.615483,9.94008,288.47192,288.0649,284.6465,0.0,0.0,4.4326130000000004e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004930609,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-11-01,214.34001,230.72678,69.241745,137.14548,225.30382000000003,112.41006000000002,274.9459,87.939095,64.17148,176.89853,313.67537999999996,138.87247,0.16821289,0.4473107,0.07981046,0.2074685,286.25836,286.83237,285.30582000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-11-02,131.39792,160.9399,34.18192,68.51398,111.207504,59.17126999999999,121.34871000000001,54.51718,23.824368,94.89331,250.81345,95.098045,0.27838227,0.7135519,0.51560456,0.89166784,288.44622999999996,288.0127,285.24484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-11-03,106.57302,137.91089,24.50816,48.569283,80.97626,44.69045,85.4528,43.076609999999995,15.22582,69.33406,246.78642000000002,82.93979,0.6131340999999999,0.32625879999999996,2.3270197,0.45883578,288.9328,288.9013,286.23273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-11-04,90.9721,120.69276,20.452637,38.897602,66.47617,37.750603000000005,69.08459,37.238033,12.204875,56.72295,226.08069,72.4617,0.011432368,0.018795215,0.016803535,0.0075188307,288.0946,289.74158,288.04648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-11-05,74.96651999999999,106.34952,17.662670000000002,32.53693,54.82216999999999,32.876938,56.261469999999996,32.5027,10.06509,47.11206,205.72076,61.892540000000004,0.0,0.0,0.0,0.0,291.37823,290.38898,289.73633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-11-06,63.27244,96.179016,15.140359,27.711340000000003,46.238476,29.225552,47.282779999999995,28.859423,8.150911,39.574596,193.85312,54.912519999999994,0.0,0.0,0.0,0.0,290.11227,291.30847,291.6856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-11-07,58.163486,90.11828,13.495978,24.96068,41.27248,27.213054999999997,41.767353,26.905023999999997,6.6206274,35.16361,186.4726,52.05829,0.0,0.0,0.00011515446000000002,0.0,288.97327,290.34963999999997,291.6986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-11-08,57.04071,86.920746,12.522575999999999,23.360981,38.34003,25.93721,38.20288,25.81079,5.7480199999999995,32.615992999999996,181.43245,51.297928000000006,0.0,0.00020855351000000002,0.0025717097,0.0,290.14333999999997,290.5959,289.25037000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-11-09,55.74851999999999,84.55768,11.863731,22.184414,35.422012,24.937962,35.659733,24.984276,5.1826553,30.755714,178.02638000000002,50.335327,0.0,0.00020990874,0.11437988,3.2518733e-06,288.2506,288.60806,285.39844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-11-10,54.31439,82.393105,11.379519,20.767536,33.414320000000004,24.137306,33.70097,24.304134,4.807576999999999,29.321314,174.60449,49.309914,0.0,0.0,0.0008430755,0.0,285.85397,287.0139,286.03567999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-11-11,53.078796,81.069305,11.003421000000001,20.023998000000002,32.108402000000005,23.563337,32.26511,23.806288000000002,4.5213985,28.289013,192.16962,48.27478,0.0020919428,1.0450848,4.8567553,0.052351154000000004,285.35226,285.78958,283.51038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-11-12,165.78521999999998,106.25164,10.708585000000001,19.02105,31.262172999999997,25.473297,31.223309000000004,38.559452,4.2780724,41.559864000000005,271.98557,73.231026,22.213396,7.148556,7.7803807,11.801260000000001,286.60364,285.93872000000005,282.96848,0.0,6.9578906e-05,3.652018e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-11-13,222.59188999999998,225.42046000000002,10.602967999999999,18.032719,30.762302000000002,26.507513,30.730263,46.820057,4.219974,46.595184,335.31958,124.41675,8.535101,9.928493,6.1466546,9.139396000000001,287.053,286.2882,281.314,0.6471693000000001,0.00027522022999999996,0.07675872,0.0006969110700000001,0.0,12.033047,0.0042497185,0.0,0.0014957871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-11-14,137.69582,156.9288,10.507384,17.153994,30.303558000000002,25.004837,30.213161,38.090053999999995,4.259183,39.802002,306.74368,91.018196,2.4774702,3.1797855,5.427630000000001,4.272172,289.49298,288.50307999999995,285.01324,0.80571514,0.03287258,0.116740644,0.0,0.0,16.089787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-11-15,111.68723,132.39241,10.385351,16.432732,30.121554999999997,23.993813,29.705349,33.073986,4.172814,35.851284,263.62082000000004,81.934326,0.33710515,0.2857401,1.4751222,0.654986,289.42404,289.6875,286.8459,0.17801989999999998,0.0,0.065103404,0.0,0.0,8.798581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-11-16,90.93988,112.75318999999999,10.166648,15.848989999999999,29.18267,23.26344,29.017193,30.15673,4.0156220000000005,33.11282,241.28477,68.59789,0.12772556,0.7644108000000001,4.277519,0.48178238,287.42287999999996,288.28827,287.127,0.0,0.0,0.039276086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-11-17,81.18934,104.59642,9.964736,15.323416,28.062485,22.721968,28.288727,28.373354,3.8563428,31.210508,227.34036,64.62369,0.38481382,0.6286357,0.08211377,1.0316228,284.93286,284.80312999999995,283.45068,0.0,0.0,0.031545036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-11-18,72.24665999999999,95.97872,9.876708,14.888025,27.440502000000002,22.218609,27.63562,26.966625,3.8057665999999997,29.601340999999998,208.35178,57.714859999999994,0.0,0.0,0.0073771304,0.0,283.86404,285.60474,283.49573,0.0,0.0,0.019647496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-11-19,63.720043000000004,89.82705,9.672703,14.518170000000001,26.735088,21.702374,26.851029999999998,25.656010000000002,3.6968562999999994,28.042389,198.45772,52.39833,0.0,0.00920105,0.22570041,0.0017992863,286.53995,288.30893,285.32788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-11-20,57.551666000000004,85.36973,9.425061,14.181342,25.927868,21.2005,25.950663,24.550062,3.4785156,26.563741999999998,190.73811,48.593407,0.0,6.660662e-05,0.00016334589,5.7032845e-05,287.58563,289.48285,288.11368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-11-21,51.88988,81.34011,9.129083,13.871347,24.957638,20.571903,25.000845,23.533457000000002,3.2399879,24.948841,183.62999,45.30249,0.0,0.0,3.8970287e-05,0.0,284.35332999999997,288.3183,287.7862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-11-22,48.47652,78.552444,8.878925,13.579401,24.096264,20.100918,24.167856,22.806217,3.0378056,23.76067,178.49347,43.352783,0.0,0.0,6.5590834e-06,0.0,284.59546,285.71927,287.42755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-11-23,48.02381,77.19071,8.671999000000001,13.310406,23.532984,19.770113000000002,23.56096,22.334204,2.8860025,22.98773,175.6328,42.91422,0.0,1.4656468e-05,1.1444092000000001e-05,0.0,285.64288,285.7273,283.34997999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-11-24,47.639507,76.38779,8.547212,13.09727,23.124668,19.459549,23.19908,21.965397,2.7593539000000002,22.461983,177.39282,42.580635,0.1896753,0.63636494,2.0762174,0.3462487,284.69818,284.49725,282.0747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-11-25,47.761303000000005,76.04356999999999,8.602246000000001,12.925623,23.135817000000003,19.363120000000002,23.13534,21.754923,2.7975388,22.255774,176.43954,42.823692,0.01710715,0.015204228,0.26332864,0.025797734,282.80212,282.9339,281.08765,0.0,0.0,0.008771819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-11-26,47.63855,75.3007,8.673831,12.787262,23.349709,19.30992,23.237648,21.647738,2.8222506000000003,22.181885,175.0412,42.42821,0.14912601,0.06449554,0.82972103,0.09935898,283.55627000000004,283.56412,282.26306,0.0,0.0,0.02489844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
