,SHA_storage,SHA_out,SHA_target,SHA_out_to_delta,SHA_tocs,SHA_sodd,SHA_spill,SHA_forecast,FOL_storage,FOL_out,FOL_target,FOL_out_to_delta,FOL_tocs,FOL_sodd,FOL_spill,FOL_forecast,ORO_storage,ORO_out,ORO_target,ORO_out_to_delta,ORO_tocs,ORO_sodd,ORO_spill,ORO_forecast,DEL_in,DEL_out,DEL_TRP_pump,DEL_HRO_pump,DEL_X2,DEL_SODD_CVP,DEL_SODD_SWP
2000-11-18,1946.5669382674992,11.388539027292207,11.388539027292207,9.166603543421239,3490.333333333333,2.0431076620828654,0.0,1828.809813685745,129.17453522467582,2.9230289003499994,2.9230289003499994,2.4352869648661284,318.4,0.6544129945315345,0.0,338.0743149324974,1755.0792324946608,4.727654072716796,4.727654072716796,4.727654072716796,2788.0,1.7595307888258065,0.0,903.3064480803074,13.382671265120202,8.92561981968,2.6975206566143957,1.7595307888258063,87.77972984470166,6.743801641536,3.519061577651613
2000-11-19,1942.4339161762528,11.302647881609055,11.302647881609055,9.13361562354454,3468.6666666666665,2.0101197422061636,0.0,1826.3418571290506,128.3982768194028,2.9011281845418404,2.9011281845418404,2.424999152283776,305.0,0.6441251819491822,0.0,337.64824323826383,1755.2215160495086,4.663671134941312,4.663671134941312,4.663671134941312,2788.0,1.6955478510503226,0.0,901.7214024399356,13.275412594885667,8.925619819680001,2.6542449241553445,1.6955478510503221,87.67951769634665,6.635612310388364,3.391095702100645
2000-11-20,1938.454765578136,11.19683576038509,11.19683576038509,9.080706728127026,3447.0,1.9572108467886498,0.0,1678.5135367104122,127.71047645035111,2.899148444274493,2.899148444274493,2.434632315242235,305.0,0.6537583449076412,0.0,336.9100886506744,1755.3258215098535,4.599688197165829,4.599688197165829,4.599688197165829,2788.0,1.6315649132748387,0.0,900.1886648067109,13.16815392465113,8.925619819680001,2.61096919169629,1.6315649132748389,87.58481721615117,6.527422979240727,3.2631298265496773
2000-11-21,1934.7389701653678,11.09167092791284,11.09167092791284,9.028445121461228,3425.333333333333,1.904949240122853,0.0,1539.7630784762232,126.88754551464125,2.896521415255429,2.896521415255429,2.4436181894489772,305.0,0.6627442191143833,0.0,336.2960463490623,1755.483971681913,4.535705259390345,4.535705259390345,4.535705259390345,2788.0,1.567581975499355,0.0,898.1473787827184,13.06089525441659,8.925619819680001,2.5676934592372334,1.5675819754993547,87.49532526236644,6.4192336480930905,3.13516395099871
2000-11-22,1931.245917470254,10.995593071103713,10.995593071103713,8.985270490458552,3403.6666666666665,1.861774609120176,0.0,1462.8094223776725,126.0659657837744,2.884807410573245,2.884807410573245,2.4435170879926,305.0,0.6626431176580062,0.0,335.49721856033034,1755.8454507149095,4.471722321614861,4.471722321614861,4.471722321614861,2788.0,1.503599037723871,0.0,895.5995362326705,12.953636584182052,8.925619819680001,2.5244177267781804,1.5035990377238706,87.41075536603987,6.311044316945455,3.007198075447742
2000-11-23,1927.525573180539,10.90752708308766,10.90752708308766,8.95010772824895,3382.0,1.8266118469105745,0.0,1437.9596833758249,125.20057817890844,2.8650815370979856,2.8650815370979856,2.435404117743147,305.0,0.6545301474085526,0.0,334.55231981833845,1756.1983085988102,4.4077393838393775,4.4077393838393775,4.4077393838393775,2788.0,1.439616099948387,0.0,892.9667239248304,12.846377913947514,8.925619819680001,2.4811419943191257,1.4396160999483874,87.33083681401125,6.202854985797818,2.879232199896774
2000-11-24,1923.9660167046836,10.822161643598005,10.822161643598005,8.917645514565747,3360.333333333333,1.7941496332273716,0.0,1431.2160131916708,124.47919404558016,2.8426551150963277,2.8426551150963277,2.4245905989672956,305.0,0.6437166286327013,0.0,333.73034373595556,1756.6958819115216,4.343756446063893,4.343756446063893,4.343756446063893,2788.0,1.375633162172903,0.0,891.142966151449,12.739119243712974,8.92561981968,2.437866261860071,1.3756331621729032,87.2553137823442,6.094665654650182,2.751266324345806
2000-11-25,1920.975761680845,10.73432595686553,10.73432595686553,8.882713053639723,3338.6666666666665,1.759217172301346,0.0,1407.5689584057786,124.0274847833249,2.8226989403374922,2.8226989403374922,2.4162473274342666,305.0,0.6353733570996722,0.0,332.8736018352407,1757.6097519685616,4.279773508288409,4.279773508288409,4.279773508288409,2788.0,1.3116502243974193,0.0,888.60537471488,12.631860573478438,8.925619819680001,2.394590529401018,1.311650224397419,87.18394451741885,5.986476323502545,2.6233004487948386
2000-11-26,1917.8718276344978,10.651465591450542,10.651465591450542,8.852755914031187,3317.0,1.7292600326928125,0.0,1417.8968707802233,123.54814119808559,2.797767444261164,2.797767444261164,2.4029287345837447,305.0,0.6220547642491512,0.0,331.97294680954224,1758.7719638325027,4.215790570512926,4.215790570512926,4.215790570512926,2788.0,1.2476672866219354,0.0,886.6453465587362,12.524601903243896,8.925619819680001,2.35131479694196,1.2476672866219358,87.11650056206439,5.878286992354909,2.4953345732438708
2000-11-27,1914.8301590565966,10.567755368738412,10.567755368738412,8.821948917125509,3295.333333333333,1.6984530357871332,0.0,1423.4090610798735,123.01271559441271,2.773685805481983,2.773685805481983,2.39045999903037,305.0,0.6095860286957762,0.0,331.31060895279825,1760.0300419536195,4.151807632737442,4.151807632737442,4.151807632737442,2788.0,1.1836843488464515,0.0,884.6955415057437,12.417343233009358,8.92561981968,2.308039064482907,1.1836843488464517,87.05276602425442,5.770097661207273,2.367368697692903
