,FOL_pr,ORO_pr,SHA_pr,YRS_pr
2040-11-29,6.8105617,8.666205,9.367557,11.86451
2040-11-30,0.45583138,0.06305012,0.47946233,0.13500576
2040-12-01,0.17708384,0.10477849,0.5710779,0.0701324
2040-12-02,23.570805,35.35426,31.305752,44.03246
2040-12-03,14.260476,8.896033,6.800798,12.22908
2040-12-04,0.03719274,0.060172632,0.014932756,0.024672212
2040-12-05,0.0,0.0032685932,0.005566933,0.0
2040-12-06,0.0,0.00096813,0.00040375415,0.0
2040-12-07,0.00053591846,0.016015705,9.550465e-05,0.0018770812
2040-12-08,0.0,0.010861447,0.0022029742,0.0
2040-12-09,0.0,0.00019916736,0.00036379587,0.0
2040-12-10,0.50767255,0.10782061,0.06745087,0.10083008
2040-12-11,26.55396,20.2995,6.742098,29.178314
2040-12-12,23.67954,14.424837,6.114935,26.303919
2040-12-13,89.955055,65.55515,40.929813,99.880714
2040-12-14,57.07489,35.31113,23.609543,55.371933
2040-12-15,19.160866,17.701954,43.648388,15.8812275
2040-12-16,19.572588,20.016901,19.839706,27.332977
2040-12-17,17.229641,12.3283615,9.975244,15.719825
2040-12-18,11.976024,9.4404545,6.910701,15.286071
2040-12-19,0.0005046565,0.01725247,0.016077714,0.0008444864
2040-12-20,0.00017566216,0.009813008,0.00062703737,0.00027015564
2040-12-21,0.0012579197,0.0014688593,0.0,0.0005743308
2040-12-22,0.0026706601,0.017424332,4.434929e-05,0.00223929
2040-12-23,0.0012117712,0.0031043605,4.391019e-05,0.0053730947
2040-12-24,0.021296803,1.0245124,1.3050125,0.30567607
2040-12-25,0.54544586,2.5526805,3.3081686,1.7942234
2040-12-26,0.0,1.6061886e-06,0.0004048519,0.0
2040-12-27,9.527439e-05,0.028356051,7.837968e-05,1.8010374e-05
2040-12-28,0.0,0.019539282,0.006505294,0.0
2040-12-29,0.0,0.0012817383,0.16463926,0.0
2040-12-30,0.6540929,0.8702385,3.6386344,0.43404
2040-12-31,1.0702544,4.141688,5.8217173,2.678465
2041-01-01,1.050162,2.0056963,4.840714,1.5776147
2041-01-02,0.6919005,10.465224,12.835913,2.105963
2041-01-03,0.03282798,0.16579598,0.7914172,0.07038054
2041-01-04,1.0420637e-05,0.0005135787,0.0010856793,0.0006723874
2041-01-05,0.097230494,0.80991524,1.3077289,0.107650004
2041-01-06,0.0,0.00097214547,0.0017801189,0.0
2041-01-07,0.0,0.006630747,0.0024936593,0.0
2041-01-08,0.0013219322,0.14268132,1.3735242,0.0048708054
2041-01-09,0.0,0.03330913,0.06317732,0.0037701717
2041-01-10,0.00031857373,0.08831145,2.2745514,0.0028076172
2041-01-11,0.21757545,0.144518,0.5913288,0.11958288
2041-01-12,0.0,0.00036058927,6.147426e-06,0.0
2041-01-13,0.0023401773,0.00076213636,0.00020110865,0.00020811988
2041-01-14,0.0,0.0,4.039737e-05,0.0
2041-01-15,0.0,0.0,0.0,0.0
2041-01-16,0.0,0.0,0.0,0.0
2041-01-17,3.4239234e-05,6.4247533e-06,0.0,0.0008324795
2041-01-18,0.0,0.0,0.0,0.0
2041-01-19,0.0,0.0,0.0,0.0
2041-01-20,0.0,0.0,0.0,0.0
2041-01-21,0.0011819979,0.0019005224,0.0006841207,0.00088450947
2041-01-22,0.00051507715,0.0,0.0,4.4025357e-05
2041-01-23,0.079911396,0.10967656,0.24728525,0.05045306
2041-01-24,0.00043766672,0.025217157,0.09215277,0.0037421556
