,FOL_fnf,ORO_fnf,TRR_fnf,ISB_fnf,PNF_fnf,MRC_fnf,MIL_fnf,NML_fnf,TUL_fnf,DPN_fnf,SHA_fnf,YRS_fnf,FOL_pr,ORO_pr,SHA_pr,YRS_pr,FOL_tas,ORO_tas,SHA_tas,FOL_swe,ORO_swe,SHA_swe,YRS_swe,MED_swe,SDF_swe,STL_swe,SNM_swe,BKL_swe,HMB_swe,FOR_swe,RTL_swe,GRZ_swe,GOL_swe,CSL_swe,HYS_swe,SCN_swe,RBB_swe,RBP_swe,CAP_swe
2039-11-16,329.94717,271.96384,28.689495,40.490337,64.02479,77.09974,69.64458,83.97848499999999,15.011702,121.07458999999999,433.33234000000004,246.02233999999999,16.843672,4.2811627,0.6614916000000001,12.183825500000001,276.31458,280.21808,280.90857,21.86342,3.4003367,4.091533,13.369203,22.355217,17.570135,0.0,0.38109252,0.0,0.041937302999999995,0.0,0.0,0.0049458295,51.205708,76.093346,2.372984,64.62765,5.8624125,5.8624125,121.63875
2039-11-17,359.33664,301.24646,37.233994,50.404759999999996,76.382675,92.51899,84.844925,83.87625,30.101759,130.01518000000002,433.65185999999994,293.9799,42.033184000000006,28.752884,16.179188,43.74514,278.29427999999996,280.83936,281.70575,29.973834999999998,5.760811299999999,5.5480675999999995,20.535318,28.689255,22.351564,0.004011364,5.2945269999999995,2.7366992999999997,5.634378400000001,0.0,0.0,5.017019,68.37534000000001,92.40746,25.527466,84.09222,27.333332000000002,27.333332000000002,134.96352
2039-11-18,573.101,428.4274,37.077778,52.427994,75.2714,98.34671999999999,85.95012,107.05811000000001,30.207846000000004,164.16724,461.19537,475.39966,35.201138,19.766825,9.920314999999999,37.206528000000006,279.32248,281.99777,282.53885,56.87011700000001,25.55932,15.006613,45.637558,37.764824,37.752334999999995,9.659147,42.638115,43.499134000000005,36.440353,0.0,17.084759,34.296490000000006,125.24922,140.02777,86.33723,137.77621000000002,85.461174,85.461174,192.459
2039-11-19,985.14886,458.01715,51.665424,79.08873,131.16263999999998,290.17557,223.3504,237.07057000000003,44.407074,460.49782999999996,460.86107999999996,588.4965,43.229782,10.678998,6.315002400000001,27.921669,280.40634,284.30508,285.83477999999997,69.10809,30.8877,17.320639,54.546738,43.425163,47.959015,8.351459,50.152621999999994,55.77721,52.989227,0.0,20.954815,39.651123,153.2983,165.61559,101.661415,170.68898000000002,102.83584599999999,102.83584599999999,221.995
2039-11-20,635.46515,410.0861,62.881434999999996,121.57158000000001,124.96856000000001,137.08588999999998,166.22025,131.61182,67.49331,232.43307000000001,426.0641,446.0842,5.0439343,2.9415123,2.5926720000000003,5.510072,277.41782,280.06273999999996,280.45212000000004,73.51726500000001,28.792618,19.45928,53.88166,57.65449,57.05449,0.5461873,56.0836,51.00524,62.071647999999996,0.0,13.4778805,33.638283,154.56596000000002,193.42203999999998,90.24804,199.91705,91.50161,91.50161,274.4549
2039-11-21,372.9789,274.49472000000003,32.339622,62.799896,66.53489,72.7626,83.86891,70.28316,25.557524,112.02225,354.25622999999996,280.04537999999997,0.0,0.0,0.0,0.0,282.49594,281.74532999999997,280.8156,79.50406,31.73068,21.274126000000003,59.331244999999996,63.070969999999996,58.589138,0.0,59.7927,59.701138,66.18985,0.0,15.439434,37.29939,165.3197,199.4223,98.993286,218.62465,99.7921,99.7921,280.02643
2039-11-22,329.39687999999995,253.7944,28.159903999999997,56.894093000000005,60.727985,64.89017,71.82236,66.43785,24.163063,100.063385,356.98315,250.733,0.0,0.0,0.0,0.0,284.55402000000004,283.21402,283.72385,75.94874,29.840332,19.493347,56.358128,62.728737,55.502131999999996,0.0,52.666565000000006,58.185986,64.5864,0.0,12.41859,35.75792,163.5636,197.72757,92.48516,215.25612,90.32521,90.32521,279.759
2039-11-23,290.80655,262.5479,26.474028000000004,60.60069300000001,56.76274,67.3637,75.26675,62.32213,19.506575,93.121346,353.42462,221.2204,0.0,0.0,0.00045606214999999997,0.0,285.2819,287.50006,286.79694,71.7903,25.169786,16.216763,51.432190000000006,57.794823,49.357445,0.0,42.943490000000004,49.085037,59.042473,0.0,7.928216,29.367990000000002,155.39995,193.55186,80.569786,206.92686,80.1697,80.1697,279.56212999999997
2039-11-24,251.22214,254.38622999999998,27.978378000000003,59.5278,60.240276,62.588190000000004,75.38771,58.80854,16.348675,94.06801,339.1244,196.34386999999998,0.0,0.00026035310000000004,0.0057481723,0.0,284.65997000000004,286.2591,285.18576,69.09893000000001,21.233118,13.048294,48.218826,51.751606,41.181435,0.0,36.187866,41.439884,53.31166999999999,0.0,0.0,21.815594,149.91827,190.10416,71.78376999999999,202.19847,72.41873000000001,72.41873000000001,279.4276
2039-11-25,243.66953999999998,249.50586,28.467957000000002,54.44883299999999,65.2967,61.9738,74.5618,61.50801,12.390305499999998,86.54628000000001,311.42545,188.39328,0.0,4.1961670000000006e-05,0.0,1.901095e-05,285.60864,288.38202,289.1708,66.02521999999999,18.647705,11.688080000000001,45.137135,50.393035999999995,38.454440000000005,0.0,29.418034000000002,35.25704,50.10009,0.0,0.0,16.725328,145.32137,188.40288,60.643440000000005,196.38182,59.35463299999999,59.35463299999999,279.2129
2039-11-26,261.56815,285.13397000000003,27.559836999999998,48.06845,70.263054,60.797203,76.74831999999999,63.155426,11.941154,91.58510600000001,343.28912,221.98327999999998,9.406578,7.001193499999999,4.2546988,11.104942,283.03757,285.11572,285.53174,61.737953000000005,14.143313000000001,9.29524,39.67168,43.060390000000005,26.920284000000002,0.0,14.816068,22.01064,43.781006,0.0,0.0,7.219887299999999,132.7938,182.2046,46.309837,188.71341999999999,44.998062,44.998062,274.9871
2039-11-27,270.1182,278.8491,39.30812,52.798077,80.271904,65.06156999999999,84.41141999999999,59.20926,37.393974,93.1866,335.115,225.1016,4.0050445,1.2358007,1.8426765999999999,4.7274519999999995,278.4969,280.79337000000004,281.32608,62.669594,12.692188999999999,8.615741,39.716766,40.582375,26.675259000000004,0.0,10.989759,18.555887,44.24358,0.0,0.0,0.0,134.53873000000002,187.55391,44.970345,191.38068,40.659245,40.659245,283.45734
2039-11-28,207.19763,217.52345,31.5238,44.397427,61.876583,55.453444999999995,64.73236999999999,51.092133000000004,28.655379999999997,77.84343,293.82034,166.52158,1.1502798,0.797058,1.2361425,1.0400040000000002,279.50702,281.92908,281.9848,63.49283199999999,12.978481,9.101703,40.80591,42.864253999999995,38.869865000000004,0.0,12.588258,19.520685,48.93436,0.0,0.0,0.0,136.7112,188.36365,48.83098,195.28546,43.485904999999995,43.485904999999995,283.69412
2039-11-29,227.24794,240.64041,25.903978,49.28322,53.831127,56.38057,58.02675,55.586178000000004,22.13156,85.25137,367.41962,178.23901,3.6392290000000003,2.1713145000000003,5.565782,2.1520836,282.35873,285.01953,286.1208,63.652397,12.530842999999999,9.019976,40.626488,39.86712,36.571754,0.0,10.161261,15.38021,48.373734000000006,0.0,0.0,0.0,136.99868999999998,188.05026,48.062218,196.5901,42.626422999999996,42.626422999999996,284.2428
2039-11-30,260.54245,258.0014,28.168182,51.347190000000005,56.726569999999995,58.92018,61.27884,58.180824,19.803808,84.37465,366.20337,208.72787,2.3156630000000002,1.2059928,2.0667892,2.6958822999999996,282.70837,285.9725,286.61285,60.031155000000005,8.90576,6.3050857,35.917896,13.456581,15.913666000000001,0.0,0.0,0.52256155,37.085644,0.0,0.0,0.0,123.64393600000001,182.14793,37.888382,188.51892,31.141201000000002,31.141201000000002,282.4836
