,SHA_storage,SHA_out,SHA_target,SHA_out_to_delta,SHA_tocs,SHA_sodd,SHA_spill,SHA_forecast,FOL_storage,FOL_out,FOL_target,FOL_out_to_delta,FOL_tocs,FOL_sodd,FOL_spill,FOL_forecast,ORO_storage,ORO_out,ORO_target,ORO_out_to_delta,ORO_tocs,ORO_sodd,ORO_spill,ORO_forecast,DEL_in,DEL_out,DEL_TRP_pump,DEL_HRO_pump,DEL_X2,DEL_SODD_CVP,DEL_SODD_SWP
2048-01-05,1097.646544082191,3.9669421420799997,3.9669421420799997,2.32694214208,3433.3953488372094,0.0,0.0,975.5339159179529,90.0,0.11580293758689209,0.85586776776,0.0,305.0,0.0,0.0,120.55236875137723,1366.3837018232978,2.3801652852479998,2.3801652852479998,2.3801652852479998,2788.0,0.0,0.0,674.7685954693468,79.55939939448184,68.19391181031554,6.251018171291468,5.114469412874837,76.85580118895444,0.0,0.0
2048-01-06,1097.1393180639916,3.9669421420799997,3.9669421420799997,2.32694214208,3448.5116279069766,0.0,0.0,957.3386470144485,90.0,0.11577774694390541,0.85586776776,0.0,305.0,0.0,0.0,122.13145601594545,1365.0971627616902,2.3801652852479998,2.3801652852479998,2.3801652852479998,2788.0,0.0,0.0,670.7406341159236,79.43235719180224,68.12062167366112,6.2214545349776165,5.090280983163504,76.04322468175496,0.0,0.0
2048-01-07,1096.6087397024337,3.9669421420799997,3.9669421420799997,2.32694214208,3463.6279069767443,0.0,0.0,952.0369568032908,90.0,0.11523008832016046,0.85586776776,0.0,305.0,0.0,0.0,123.10828190962138,1363.807946429711,2.3801652852479998,2.3801652852479998,2.3801652852479998,2788.0,0.0,0.0,668.4811345131805,79.30439043596951,67.35913425773822,6.569890898027213,5.3753652802040826,75.2760343127916,0.0,0.0
2048-01-08,1096.0424430422636,3.9669421420799997,3.9669421420799997,2.32694214208,3478.7441860465115,0.0,0.0,935.5286577123934,90.0,0.11472638872764662,0.85586776776,0.0,305.0,0.0,0.0,124.08880280483925,1362.516411771369,2.3801652852479998,2.3801652852479998,2.3801652852479998,2788.0,0.0,0.0,666.6801496957099,79.1739624189414,67.22791285228169,6.570327261662841,5.37572230499687,74.55829910576023,0.0,0.0
2048-01-09,1095.5055818721303,3.9669421420799997,3.9669421420799997,2.32694214208,3493.860465116279,0.0,0.0,909.0065913745824,90.0,0.11393712533308076,0.85586776776,0.0,305.0,0.0,0.0,129.5679065786137,1361.2233732633554,2.3801652852479998,2.3801652852479998,2.3801652852479998,2788.0,0.0,0.0,669.3950213256379,79.04077316412071,66.9463599613472,6.651927261525428,5.442485941248077,73.88129862824368,0.0,0.0
2048-01-10,1094.931147478948,3.9669421420799997,3.9669421420799997,2.32694214208,3508.9767441860467,0.0,0.0,922.2425800918462,90.0,0.11359324304042673,0.85586776776,0.0,305.0,0.0,0.0,135.86443304480156,1359.9294132410714,2.3801652852479998,2.3801652852479998,2.3801652852479998,2788.0,0.0,0.0,671.6459555045689,78.92747182623927,66.33778589702708,6.924327261066706,5.665358668145486,73.24424347255083,0.0,0.0
2048-01-11,1094.3491086774034,3.9669421420799997,3.9669421420799997,2.32694214208,3524.093023255814,0.0,0.0,899.1986671940132,90.0,0.1132978334801038,0.85586776776,0.0,305.0,0.0,0.0,139.64505169128972,1358.6342753523465,2.3801652852479998,2.3801652852479998,2.3801652852479998,2788.0,0.0,0.0,673.4455228316241,78.83035918657697,66.75022697551495,6.644072716084109,5.436059494977907,72.64812378647426,0.0,0.0
2048-01-12,1093.7604271463438,3.9669421420799997,3.9669421420799997,2.32694214208,3539.2093023255816,0.0,0.0,857.6654297739475,90.0,0.11258383619285439,0.85586776776,0.0,305.0,0.0,0.0,143.50155043151904,1357.336882538619,2.3801652852479998,2.3801652852479998,2.3801652852479998,2788.0,0.0,0.0,673.9461685621908,78.75418513030522,67.0011272988577,6.464181807296137,5.288876024151384,72.08078801448916,0.0,0.0
2048-01-13,1093.1680068606013,3.9669421420799997,3.9669421420799997,2.32694214208,3554.3255813953488,0.0,0.0,815.5078423938346,90.0,0.11199814807997654,0.85586776776,0.0,305.0,0.0,0.0,146.12309500745891,1356.0378480572572,2.3801652852479998,2.3801652852479998,2.3801652852479998,2788.0,0.0,0.0,673.3554413299888,78.72488226333375,66.95456823356818,6.4736727163710635,5.296641313394506,71.54223284718624,0.0,0.0
2048-01-14,1092.573377834589,3.9669421420799997,3.9669421420799997,2.32694214208,3569.4418604651164,0.0,0.0,814.2848397886044,90.0,0.11251234754932682,0.85586776776,0.0,305.0,0.0,0.0,147.64933915120935,1354.7384575202018,2.3801652852479998,2.3801652852479998,2.3801652852479998,2788.0,0.0,0.0,672.0433190025257,78.7641659951797,67.21500898983508,6.3520363529395345,5.197120652405074,71.03374713347301,0.0,0.0
