,C,D,BN,AN,W
04-15,7.056198335224799,11.39355369982152,56.68438006983276,41.43382913132736,169.33619806194528
04-16,6.877685938831201,11.082644609436,52.31355363091223,43.34236907301696,186.59173522296956
04-17,6.394214865265199,9.56429750455488,48.545950331471765,44.89785116406144,180.7629749022067
04-18,6.042148750155599,8.47388428325064,48.40735529038284,47.285289176569925,140.34644604464833
04-19,3.4041322256724005,8.4471074237916,45.07090901500968,47.71041314279616,154.74115676420925
04-20,2.2532231367014397,5.433718999114079,43.45561976153148,41.91999992940672,158.28429725411038
04-21,5.63157023845032,4.120661150085599,43.86272719886244,41.080330509333116,153.77917329475486
04-22,6.289586766267839,2.1842975169827996,42.8210743080546,42.46578505245456,144.32132207101247
04-23,6.96743800479576,3.34066115139912,40.503305716916394,37.35272720982528,138.47471051061027
04-24,5.916694204912321,3.1978512342842396,35.932066055192884,35.35669415533536,135.9761981181235
04-25,3.57495867166572,0.2880991730685605,37.47570241622976,34.84495861900704,125.96429730853727
04-26,6.899999988380401,-0.8821487588450397,35.77041316290312,37.49223134182176,123.64826425458625
04-27,5.10148759471488,-0.81619834573296,35.88173547676524,34.213553661392645,123.58347086626559
04-28,5.529421478291761,-2.3047933845484803,33.828966885180776,37.56231398633184,118.87801632873504
04-29,2.83586776381944,-3.69520660534752,32.57876027571588,39.079338777165596,114.36760311319007
04-30,2.9717355321856793,-6.72247932752232,29.743636313548077,39.58611563581632,114.47471055102623
05-01,-1.7732231375097602,-8.34991734131064,26.39950408777464,42.44694207727968,111.25421468868096
05-02,-4.3239669348672,-4.066115695632,26.112644584125476,43.478347034220484,112.04429733197856
05-03,-6.7884297406344,-6.83404957526832,31.6010330046351,41.53785116971968,106.09454527588224
05-04,-6.6842975094048,-2.81801652418008,26.098016484976558,32.033057797296,107.58214857916222
05-05,-6.6966942035988,-3.11999999474592,26.57553714532944,35.104793329313274,102.63272709989376
05-06,-6.7507437902846394,-0.010909090890719675,25.259999957462163,33.552727216224476,98.54148743736192
05-07,-7.014049574965201,2.4892561941552005,22.51512392902667,31.849256144712964,98.14743785124864
05-08,-9.04115700956808,3.7621487539951195,20.09340717878479,31.946446227193917,96.44760314336736
05-09,-9.80429750415072,0.04214876025960024,18.23549208048602,38.17983464644896,88.75504117285055
05-10,-12.421983450155759,-1.8669421456164,16.147494337946615,41.25421480656096,86.36231390415264
05-11,-11.91768593034384,-3.3094214820302406,19.92362881693697,42.719999928059515,84.49322299820928
05-12,-10.767768576908399,-4.667603297924879,21.537614539237797,50.61752057591712,78.18710730634943
05-13,-15.48892559375136,-6.63049585660284,18.18102175751238,49.8247933045248,71.06975194643424
05-14,-11.94148758319632,-6.111570237642,13.879924845146114,23.28528921698592,63.952396586519036
05-15,-10.68446279192472,-5.96677684945608,10.292546939842405,15.3487603047312,64.04165278471584
05-16,-11.672479319186518,-8.928099158518801,8.19190456922512,38.18115696049632,66.59702468123903
05-17,-13.75487600989464,-11.463223121191799,5.768948149563825,35.49818175840288,63.432066008882884
05-18,-10.887272708938559,-11.44016526999096,7.766481232947945,11.233718989346878,64.46743790796576
05-19,-12.60099171431712,-10.8446280809112,8.703849028861185,24.317355330950402,64.42181807333183
05-20,-12.46909088809296,-12.2157024587676,5.15286972489478,-1.4294214851961584,61.9074379122768
05-21,-10.936859485714558,-6.242975196098399,6.3142457848935996,3.831404952225602,58.88991725620127
05-22,-11.72181816207864,-3.9262809851236797,5.958762343314576,5.751404948992319,65.10214865069857
05-23,-11.0727272540808,-1.9596694181875198,7.385551626006937,14.86677683446848,67.73223129089759
05-24,-12.38280989650272,-1.68644627815176,8.165481405656363,51.38314040933856,64.92429741132864
05-25,-11.210082625750319,-4.0671074311675195,8.796898788861684,-2.2135537152806397,63.50942138065344
05-26,-12.869256176675279,-4.5545454468756,10.176208732791023,-4.595041314576,61.86975196192703
05-27,-14.82694212379176,-7.01355370719744,7.494113724882081,-0.26578512351935996,59.33024783397216
05-28,-14.29140493461096,-9.11206610035776,7.751770778138292,-2.0561983436448004,57.032066019660476
05-29,-12.04611568219368,-11.299586757831,9.616039398936914,4.7454545374632,62.217520556382716
05-30,-10.82677684127184,-10.04578510704984,8.938016513873999,8.630082630095039,56.27504122754687
05-31,-10.95719006419272,-8.709917340704399,8.1092975070051,12.6148760118144,54.76099164331968
06-01,-13.86297518326632,-8.61471072929448,12.353801632088757,23.21719004354688,52.1619833832336
06-02,-15.635206585240558,-8.4024793246932,17.43173550783504,0.3094214870822398,49.68462801550464
06-03,-15.48247931277048,-8.259173539810561,18.09272724225912,-0.9857851223068804,46.85090901201216
06-04,-15.06148757794224,-8.842314034696319,14.291033033785139,-0.4720661149075198,44.77090901551488
06-05,-12.57669419369688,-9.860330561907599,11.554462790459642,15.86314046915424,46.756363557625924
06-06,-13.01305782932568,-12.52413221031432,10.87214874202188,18.346446250096317,51.416198260522556
06-07,-14.872066090657919,-15.22512394130304,8.828925604966798,15.27008261891328,51.74942140045727
06-08,-15.7214875768308,-14.42826443851272,8.912975191602122,2.26247933503296,51.06247925285376
06-09,-14.8115702229912,-13.685950390176,10.28107436285196,-0.06016528915487992,46.917024714380155
06-10,-16.9487603020368,-14.382148736111041,9.290826430635242,2.1864462773097597,43.49685943088352
06-11,-15.776528899052161,-12.756198325625999,6.844462798391282,1.2006611550028796,44.39471066904096
06-12,-18.15471071322912,-13.555041299487359,2.9514049537075215,0.89652892411008,38.80198340573184
06-13,-15.87619832037192,-15.93917352687744,5.00752065272436,1.9411570215244798,42.68297513473345
06-14,-15.02677683419904,-16.187107410757438,4.150661150035081,15.35933881711008,42.027768524266556
06-15,-15.2776859246856,-18.32429748980304,5.334545445562081,11.798347087569601,40.77752059248768
06-16,-18.737851208114883,-18.70809914204928,4.590495860038201,-7.1094214756310405,42.599008192726075
06-17,-20.339504097979678,-18.85983467898384,1.2322314028835994,-7.252231392745919,42.46677678799008
06-18,-20.014214842329118,-17.48231402014656,1.68892561699056,-7.89355370571552,38.67702472825632
06-19,-20.271074346028797,-15.0446280738384,0.5807851229888996,-10.499834693062079,35.91041316266736
06-20,-21.1090908735432,-21.31834707153792,0.41429751996348174,1.0631404940774403,34.321983413276165
06-21,-19.445454512708398,-21.199338807275517,-2.632809912921719,3.5947107377481604,35.12595035407104
06-22,-19.53322310760192,-20.44561980028032,-0.3047107432885192,-13.12264460600064,28.07471069652384
06-23,-20.879008229302563,-20.43173550278304,0.5970247923830398,-12.6479338629984,30.501156973429442
06-24,-24.849421445756878,-19.99735533822528,-1.9472727239935201,-1.90677685629312,24.4099173142656
06-25,-22.79404954839168,-20.75603302289808,-5.079669412933439,-8.37553717597824,27.935867721551038
06-26,-20.21256194943312,-21.26082641047776,-7.120413211149719,-11.31173551814112,27.69454540790784
06-27,-20.286942114597117,-22.6214875652112,-8.05140494511912,-6.47867767504032,27.913388382745918
06-28,-18.110082614130718,-20.35388426324472,-8.460991721288881,-3.8717355306700796,30.57917350222368
06-29,-18.663966910718642,-21.540991699262158,-7.376528913197759,-3.42280991159136,31.50148755025728
06-30,-17.10347104557792,-20.07619831329912,-5.20264461933792,-8.21289254815296,30.09520656088992
07-01,-18.550413191901598,-20.52495864312192,70.09037178279425,-12.735867747147841,28.3206611093328
07-02,-21.231074344412157,-19.9685950076952,-5.341322305054799,-11.88231402957696,30.69619829541504
07-03,-17.461983441668398,-19.830743768257918,-9.13425618296502,-16.188429724804802,25.320991692896637
07-04,-16.59223137701736,-21.3743801292948,-7.1037189963018,-16.542148732473596,25.12859499900576
07-05,-18.823636331937358,-22.16727268994304,-10.3836776684643,-9.355371885072001,23.506776819918723
07-06,-20.11338839588112,-22.525785086033515,-12.74727270580632,-7.8446280859632,18.682314018125755
07-07,-19.31950409969736,-18.28512393615,-11.23289254306728,-1.585454542784639,20.32595037899424
07-08,-17.0256198060396,-19.65322310739984,-9.272727257111999,4.304132224156799,15.12330575965632
07-09,-19.05223137287472,-18.873223108713358,-8.80636362153372,-18.58380162159744,10.94611568404608
07-10,-17.70297517679976,-21.67537186432512,-11.905413203091781,-17.705123937126718,12.037024773118082
07-11,-15.440330552510881,-20.52793384972848,-12.34809915275952,-18.2909090601072,9.82347105783744
07-12,-16.901156996331842,-23.136198308146078,-12.16388427703668,-15.00099171027552,7.179504120141121
07-13,-17.55223137540072,-20.09454542070624,-9.99694213192548,-19.127272695062402,3.9623140429142403
07-14,-20.17884294122544,-18.138842944660798,-10.32433882558902,-17.539834681206717,2.4264462769056
07-15,-19.04528922412608,-18.5999999686776,-10.407024775863,-17.62380162321408,2.6155371856780802
07-16,-18.508760299409758,-19.2148760007,-10.3623966767646,-16.76165286433536,4.522975198994881
07-17,-16.057190055604316,-18.04909087869624,-12.3632231196762,-16.91834707894752,4.50975205852128
07-18,-16.66760327771688,-20.09157021409968,-12.650330557209239,-11.718347087704322,3.6680991673766403
07-19,-17.13173550834024,-20.974710708480238,-12.62157022667916,-9.97487601626016,1.8690909059433602
