,FOL_tas,ORO_tas,SHA_tas
2090-04-07,278.33423,280.3714,281.80783
2090-04-08,278.47473,281.1925,281.49387
2090-04-09,281.32108,282.82263,283.2354
2090-04-10,279.2506,282.25836,282.39536
2090-04-11,283.05994,285.93356,287.52267
2090-04-12,287.69235,291.03357,292.23865
2090-04-13,281.85345,285.67822,287.02856
2090-04-14,279.8306,284.06522,283.55493
2090-04-15,280.3235,283.5468,283.77106
2090-04-16,283.49344,287.1551,286.6579
2090-04-17,286.33844,289.65833,290.49518
2090-04-18,288.66095,292.14133,292.44754
2090-04-19,291.02277,292.86633,293.2157
2090-04-20,293.2219,296.31464,296.53278
2090-04-21,294.28796,297.3393,296.9079
2090-04-22,293.25403,297.29733,295.98712
2090-04-23,291.79584,296.55353,296.6438
2090-04-24,294.4651,296.4463,296.2575
2090-04-25,291.43622,292.80008,292.8629
2090-04-26,291.28625,293.3136,293.1648
2090-04-27,290.99146,294.6467,293.2647
2090-04-28,290.9181,294.57153,293.60165
2090-04-29,289.5026,292.425,292.90198
2090-04-30,289.45813,292.6167,292.83365
2090-05-01,290.47885,293.54614,291.992
2090-05-02,287.81973,292.58255,292.7016
2090-05-03,287.3339,292.22308,292.773
2090-05-04,288.39062,292.72525,293.98285
2090-05-05,285.22412,289.68338,291.43106
2090-05-06,274.5058,279.31573,281.02502
2090-05-07,276.77164,279.9592,281.20605
2090-05-08,283.6703,285.38446,285.65988
2090-05-09,287.93408,290.18542,290.16745
2090-05-10,290.7208,293.0934,293.089
2090-05-11,290.62396,293.04016,293.1142
2090-05-12,287.49927,289.7663,289.7637
2090-05-13,281.37167,284.20084,286.01184
2090-05-14,280.21628,282.027,282.41864
2090-05-15,280.50073,282.66113,284.0048
2090-05-16,284.56104,286.39813,287.0886
2090-05-17,288.19012,290.06702,289.67468
2090-05-18,290.3479,292.97025,293.75003
2090-05-19,293.5513,295.40988,293.7327
2090-05-20,288.88077,290.3623,289.98682
2090-05-21,285.20645,287.63,288.20276
2090-05-22,283.91928,286.35385,286.99557
2090-05-23,286.92197,289.24857,289.4539
2090-05-24,291.47586,294.58112,294.2896
2090-05-25,293.67535,297.0114,297.5316
2090-05-26,296.08902,299.0592,298.18777
2090-05-27,289.04712,293.06992,292.7937
2090-05-28,284.74765,289.86435,291.0506
2090-05-29,288.89655,292.29294,292.65005
2090-05-30,289.63602,292.3907,291.5102
2090-05-31,288.66476,291.5404,291.93787
2090-06-01,289.89746,292.97766,293.1995
2090-06-02,290.8462,294.29868,294.25143
2090-06-03,292.7426,295.03357,295.7904
2090-06-04,296.17657,298.45862,298.5149
2090-06-05,294.88177,296.8272,296.12054
2090-06-06,294.49008,296.27234,295.8565
2090-06-07,295.58124,297.15845,296.7554
2090-06-08,298.17365,299.98883,299.7318
2090-06-09,301.14404,303.377,303.59372
2090-06-10,303.0714,306.50397,307.69238
2090-06-11,303.36755,306.44815,306.24823
2090-06-12,300.86572,301.65402,300.9395
2090-06-13,300.27283,300.49677,299.85004
2090-06-14,299.54248,299.82205,298.73376
2090-06-15,297.1445,298.68317,299.2616
2090-06-16,298.4915,300.4759,300.57315
2090-06-17,297.90152,298.90894,298.8454
2090-06-18,291.87723,295.04736,295.94388
2090-06-19,292.0284,293.69034,293.9744
2090-06-20,292.0739,294.539,295.1872
2090-06-21,290.55716,294.01477,294.53668
2090-06-22,288.72104,291.7447,291.82227
2090-06-23,287.95734,291.7725,292.5067
2090-06-24,292.812,294.6186,295.32217
2090-06-25,297.36392,299.2721,299.0723
2090-06-26,295.94647,297.40842,297.16232
2090-06-27,292.90808,295.35666,294.88995
2090-06-28,294.21204,296.4264,296.65674
2090-06-29,293.95343,296.26874,296.68604
2090-06-30,293.95847,295.58118,295.4729
2090-07-01,296.4706,298.11215,297.68286
2090-07-02,296.44403,298.85474,298.06644
2090-07-03,293.75958,297.58676,297.5819
2090-07-04,293.38318,296.8038,297.98737
2090-07-05,293.9197,297.91415,299.06897
2090-07-06,293.8063,297.09924,298.2632
2090-07-07,296.02438,298.16205,299.43784
2090-07-08,298.61816,299.96927,299.68036
2090-07-09,299.67212,301.031,300.36185
2090-07-10,300.85635,300.47375,299.24506
2090-07-11,301.40485,301.70685,300.10638
2090-07-12,302.58432,303.54034,301.81317
2090-07-13,302.11044,302.29535,300.61926
2090-07-14,298.93738,299.78955,300.07297
2090-07-15,301.269,303.89307,304.8899
2090-07-16,302.7041,304.56494,304.5155
2090-07-17,301.9428,304.47983,304.93597
2090-07-18,303.47833,305.35577,305.4078
2090-07-19,301.89075,302.2453,300.30853
2090-07-20,300.09872,301.7893,300.91492
2090-07-21,301.2615,304.78204,303.80817
2090-07-22,296.24615,295.98364,294.78726
