         5404811 function calls (5345084 primitive calls) in 5.299 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      510    0.008    0.000    0.008    0.000 {pandas._libs.tslib.get_date_field}
     6073    0.008    0.000    0.022    0.000 generic.py:3050(__finalize__)
      314    0.008    0.000    0.008    0.000 {method 'read' of '_io.BufferedReader' objects}
     8788    0.008    0.000    0.010    0.000 parser.py:333(ampm)
    60318    0.008    0.000    0.008    0.000 {method 'lower' of 'str' objects}
     1339    0.008    0.000    0.008    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
      756    0.008    0.000    0.008    0.000 {method 'read' of '_io.FileIO' objects}
    17851    0.008    0.000    0.018    0.000 internals.py:169(to_dense)
    34994    0.008    0.000    0.011    0.000 parser.py:199(isnum)
     8788    0.008    0.000    0.087    0.000 parser.py:319(month)
      388    0.008    0.000    0.008    0.000 {built-in method io.open}
    10875    0.008    0.000    0.029    0.000 common.py:84(is_object_dtype)
    19988    0.008    0.000    0.088    0.000 numeric.py:463(asarray)
    70853    0.008    0.000    0.008    0.000 {method 'rstrip' of 'str' objects}
19921/17822    0.008    0.000    0.355    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
    92342    0.008    0.000    0.008    0.000 {method 'append' of 'list' objects}
     1109    0.008    0.000    0.008    0.000 {method 'accumulate' of 'numpy.ufunc' objects}
    34994    0.008    0.000    0.011    0.000 parser.py:204(isspace)
    10453    0.007    0.000    0.025    0.000 common.py:296(is_datetime64_dtype)
      789    0.007    0.000    0.026    0.000 offsets.py:52(wrapper)
      789    0.007    0.000    0.010    0.000 relativedelta.py:303(__add__)
     4368    0.007    0.000    0.245    0.000 parser.py:489(parse)
     4965    0.007    0.000    0.143    0.000 datetimes.py:1358(get_value)
    15383    0.007    0.000    0.007    0.000 {built-in method numpy.core.umath.seterrobj}
  357/349    0.007    0.000    0.132    0.000 indexing.py:273(_setitem_with_indexer)
    17851    0.007    0.000    0.051    0.000 series.py:389(get_values)
