datetime,SHA_in,SHA_out,SHA_storage,SHA_evap,SHA_tocs_obs,SHA_precip,SHA_in_fix,ORO_in,ORO_out,ORO_storage,ORO_evap,ORO_tocs_obs,ORO_precip,ORO_in_fix,FOL_in,FOL_out,FOL_storage,FOL_evap,FOL_tocs_obs,FOL_precip,FOL_in_fix,SHA_tas,SHA_tasmax,SHA_tasmin,ORO_tas,ORO_tasmax,ORO_tasmin,FOL_tas,FOL_tasmax,FOL_tasmin,BND_fnf,ORO_fnf,YRS_fnf,FOL_fnf,NML_fnf,TLG_fnf,MRC_fnf,MIL_fnf,MKM_fnf,NHG_fnf,SHA_fnf,DeltaOut,SNL_storage,HRO_pump,TRP_pump,FMD_storage,UNV_storage,HHL_storage,GOL_swe,CSL_swe,HYS_swe,SCN_swe,RBB_swe,CAP_swe,RBP_swe,KTL_swe,HMB_swe,FOR_swe,RTL_swe,GRZ_swe,SDF_swe,SNM_swe,SLT_swe,MED_swe
2000-03-23,11783.0,4410.0,3623.764,113.0,,0.0,11783.504178893505,8619.0,7080.0,2761.945,69.0,,0.0,8686.204169255307,5848.0,4563.0,647.724,37.0,,0.0,5848.316668768832,,,,,,,,,,17711.0,9743.0,4545.0,6068.0,1866.0,3468.0,1380.0,2032.0,1378.0,232.0,12013.0,48255.0,2027.708,4034.0,3572.0,80.465,181.093,124.606,43.92,,35.4,,,23.88,,32.84,-12.6,29.16,32.52,32.52,49.56,41.88,49.92,37.08
2000-03-24,11965.0,2996.0,3641.282,114.0,,0.0,11941.991681539756,9054.0,6916.0,2766.057,65.0,,0.0,9054.133336824301,5768.0,4053.0,651.034,46.0,,0.0,5767.791669476885,,,,,,,,,,17100.0,10680.0,4812.0,6414.0,2356.0,3265.0,1405.0,3131.0,1522.0,248.0,11688.0,46171.0,2027.581,3974.0,2305.0,80.465,181.556,124.865,43.92,,35.4,,,23.88,,35.24,46.68,28.56,32.04,32.52,49.32,41.28,49.44,36.84
2000-03-25,11875.0,2862.0,3658.857,152.0,,0.0,11874.729181588044,8524.0,895.0,2780.948,54.0,,0.0,8456.54584597608,5603.0,3650.0,654.822,43.0,,0.0,5602.783336549414,,,,,,,,,,16996.0,10368.0,4824.0,7422.0,2164.0,3616.0,1307.0,2498.0,1274.0,215.0,11352.0,43788.0,2026.946,4759.0,1782.0,80.788,182.617,125.903,43.92,,35.16,42.46,22.1,23.76,5.6,32.6,46.68,27.96,31.56,32.4,49.08,40.8,48.96,36.84
2000-03-26,11147.0,2558.0,3675.727,84.0,,0.0,11147.291680989523,8260.0,598.0,2796.03,58.0,,0.0,8259.841679471705,4484.0,3521.0,656.67,31.0,,0.0,4483.700001568961,,,,,,,,,,16045.0,10409.0,5114.0,6854.0,2491.0,4096.0,1503.0,2734.0,1610.0,215.0,10812.0,41135.0,2028.217,5530.0,1777.0,81.111,184.373,127.035,43.8,,34.92,,,23.52,,33.56,46.44,27.36,30.6,31.92,48.96,40.32,48.72,36.6
2000-03-27,10467.0,2308.0,3691.591,161.0,,0.0,10467.100013468818,8485.0,5784.0,2801.248,70.0,,0.0,8484.74167109676,5689.0,4315.0,659.351,22.0,,0.0,5688.670835609568,,,,,,,,,,15365.0,10384.0,5295.0,6270.0,2573.0,4248.0,1649.0,3278.0,1920.0,209.0,10817.0,37060.0,2028.217,5894.0,1774.0,81.543,185.446,127.735,43.68,,34.44,,,23.28,,32.96,46.08,26.76,30.0,31.68,48.84,39.6,48.6,36.36
2000-03-28,11998.0,3220.0,3708.819,92.0,,0.0,11997.783347960225,8508.0,5894.0,2806.339,47.0,,0.0,8507.712504322291,6042.0,3764.0,663.819,25.0,,0.0,6041.616670460054,,,,,,,,,,16645.0,10910.0,5254.0,7197.0,2799.0,4353.0,1627.0,3425.0,1913.0,210.0,10961.0,34624.0,2027.835,5347.0,2307.0,81.868,186.433,128.173,43.56,,34.2,41.73,21.27,22.8,3.4,32.84,-12.6,26.16,29.76,31.44,48.72,38.88,48.24,36.24
2000-03-29,10296.0,3052.0,3722.959,115.0,,0.0,10295.9166786717,8081.0,3010.0,2816.406,62.0,,0.0,8147.445841880388,5905.0,3417.0,668.753,0.0,,0.0,5904.558337522423,,,,,,,,,,14491.0,10914.0,7397.0,7026.0,2667.0,3346.0,1500.0,3067.0,2112.0,202.0,10436.0,31984.0,2027.454,6289.0,2525.0,82.084,187.041,128.525,43.44,,33.96,41.59,20.92,22.92,2.57,32.6,-12.6,25.8,29.52,31.2,48.36,38.64,47.88,36.12
2000-03-30,10192.0,2766.0,3737.384,154.0,,0.0,10192.604178913825,8029.0,2044.0,2827.847,81.0,,0.0,7893.1708430470635,5831.0,4196.0,671.94,28.0,,0.0,5830.7791693724885,,,,,,,,,,14613.0,8658.0,2500.0,5979.0,2710.0,4367.0,1541.0,3030.0,1688.0,175.0,10226.0,28701.0,2026.946,6443.0,2390.0,82.301,187.651,128.525,43.44,,33.84,41.53,20.71,22.92,1.82,32.6,-12.6,25.32,28.68,30.48,48.24,38.4,47.88,35.88
2000-03-31,11297.0,3809.0,3751.868,186.0,,0.0,11297.35001229712,7250.0,1810.0,2838.644,133.0,,0.0,7386.487509166616,4933.0,3693.0,674.283,59.0,,0.0,4933.262501989227,,,,,,,,,,15068.0,9434.0,4279.0,5933.0,2167.0,3398.0,1462.0,3193.0,1577.0,177.0,10192.0,27358.0,2026.438,5640.0,2966.0,82.41,187.809,128.701,43.44,,33.6,41.33,20.57,22.68,0.92,33.08,45.0,24.72,28.08,30.24,48.24,38.16,47.52,35.76
2000-04-01,11741.0,3162.0,3768.484,202.0,,0.0,11741.233347440588,7569.0,3.0,2853.267,126.0,,0.0,7501.429179081862,4465.0,3927.0,675.127,112.0,,0.0,4464.5166673832055,,,,,,,,,,14930.0,9540.0,4345.0,5531.0,2098.0,2981.0,1480.0,2876.0,1386.0,176.0,10359.0,25056.0,2025.93,5527.0,3467.0,82.845,188.466,129.407,43.32,,33.36,41.1,20.3,22.56,-0.27,32.84,44.76,24.12,27.48,30.12,48.24,37.8,47.04,34.68
2000-04-02,11369.0,2227.0,3786.232,194.0,,0.0,11368.950015068373,7409.0,2802.0,2868.622,130.0,,0.0,7408.479179703327,4694.0,3418.0,677.564,47.0,,0.0,4693.654168735726,,,,,,,,,,15112.0,9579.0,1699.0,6264.0,2050.0,3512.0,1567.0,3267.0,1436.0,159.0,9015.0,22861.0,2027.581,6289.0,3360.0,83.391,189.444,130.292,43.2,,33.12,41.13,19.74,22.56,-1.14,31.64,44.64,23.28,2.64,30.0,48.24,37.56,46.44,33.0
2000-04-03,9241.0,1955.0,3800.266,211.0,,0.0,9241.475011915154,8607.0,5601.0,2874.344,121.0,,0.0,8606.841671524844,5558.0,3647.0,681.054,151.0,,0.0,5557.54166962974,,,,,,,,,,13234.0,10932.0,5556.0,7699.0,2959.0,4582.0,1992.0,3886.0,1891.0,154.0,10025.0,22430.0,2028.217,4887.0,3483.0,84.267,190.308,131.45,42.96,,32.64,,,21.48,,31.16,44.04,22.2,25.92,29.4,48.12,36.24,45.48,30.6
2000-04-04,8927.0,2860.0,3811.913,195.0,,0.0,8927.02917655513,9059.0,2767.0,2886.634,95.0,,0.0,9058.20834376773,5774.0,3623.0,685.207,57.0,,0.0,5773.804170192643,,,,,,,,,,12646.0,11888.0,6167.0,8051.0,3157.0,5782.0,2481.0,3573.0,2292.0,161.0,10891.0,20978.0,2028.217,5204.0,3418.0,85.147,191.797,132.616,42.72,,31.92,,,21.24,,30.68,43.32,20.88,25.08,28.44,47.52,34.8,43.08,28.56
