datetime,SHA_storage,SHA_out,SHA_target,SHA_out_to_delta,SHA_tocs,SHA_sodd,SHA_spill,SHA_forecast,FOL_storage,FOL_out,FOL_target,FOL_out_to_delta,FOL_tocs,FOL_sodd,FOL_spill,FOL_forecast,ORO_storage,ORO_out,ORO_target,ORO_out_to_delta,ORO_tocs,ORO_sodd,ORO_spill,ORO_forecast,DEL_in,DEL_out,DEL_TRP_pump,DEL_HRO_pump,DEL_X2
2007-08-19,2187.296643771341,21.24965821211309,21.24965821211309,16.848109825016316,4552.0,5.327244745781116,0.0,231.1244542037345,353.9653875950238,6.75998102228791,6.75998102228791,5.3606261835782325,975.0,1.4274030497059134,0.0,126.86469254875765,1579.819668710628,17.389249455511795,17.389249455511795,17.389249455511795,3537.0,15.734880928324761,0.0,144.4295027536512,21.310382189117544,7.933884284159998,2.5426203392329505,10.833877565724595,84.62831547634322
2007-08-20,2175.540947405478,18.237743128526386,18.237743128526386,13.878517322074773,4552.0,5.329502044733695,0.0,225.2182298831332,351.0734456721834,5.799565158625295,5.799565158625295,4.429242577980134,975.0,1.42458142601519,0.0,123.84436535463708,1565.318436500402,17.61853700471646,17.61853700471646,17.61853700471646,3537.0,15.784098572767444,0.0,140.81512610411198,23.829106842498405,8.340187394874441,2.979726807194357,12.509192640429607,84.77749491912718
2007-08-21,2165.6777762265433,16.25582375244054,16.25582375244054,11.938920526634089,4552.0,5.331584558743174,0.0,219.82036347919913,348.8075629258758,5.161285130971346,5.161285130971346,3.819994808390701,975.0,1.4219782835033412,0.0,120.85288923721427,1551.029001090049,17.64161074054784,17.64161074054784,17.64161074054784,3537.0,15.833316217210124,0.0,137.354021484478,25.34763352715023,9.03255464977197,3.065492122831058,13.249586754547199,84.88621654155213
2007-08-22,2156.1877387190875,16.017019353251015,16.017019353251015,11.742438708089725,4552.0,5.333519475228509,0.0,215.15771882617068,346.61882758739256,5.067949929883714,5.067949929883714,3.7556918653675844,975.0,1.4195596378966722,0.0,117.96911278689234,1536.6456840927838,17.67797166639979,17.67797166639979,17.67797166639979,3537.0,15.882533861652803,0.0,133.9209229575389,25.53577167421102,9.221442334921463,3.0647425847423584,13.249586754547199,84.93745654350604
2007-08-23,2144.4527724682575,18.907906890650878,18.907906890650878,14.675648826134749,4552.0,5.335767666145488,0.0,211.39408481449354,343.5197634828417,5.952173547332798,5.952173547332798,4.668947740881185,975.0,1.4167493992504487,0.0,114.96213619947184,1522.430796442179,17.815189410708943,17.815189410708943,17.815189410708943,3537.0,15.931751506095482,0.0,130.43925096135817,23.412347984346635,8.19432179452132,2.888276726091263,12.329749463734052,84.97251280729576
2007-08-24,2134.2197977975884,16.01222152644496,16.01222152644496,11.822286042573992,4552.0,5.338122031923923,0.0,205.7213131465498,341.3427649168125,5.027933870737893,5.027933870737893,3.7737403223507964,975.0,1.413806442027405,0.0,111.88922552135949,1508.1772133736963,17.77171302369498,17.77171302369498,17.77171302369498,3537.0,15.980969150538163,0.0,126.72296383071475,25.568731137290488,9.284166129854214,3.0349782528890756,13.249586754547199,85.08190302052948
2007-08-25,2123.0049723191987,15.66954725283994,15.66954725283994,11.521934349614135,4552.0,5.339938613435908,0.0,200.22871590060632,339.2872257760214,4.9023168363554435,4.9023168363554435,3.677155546032863,975.0,1.4115357151374235,0.0,108.83313080969234,1493.3977149187644,17.797187520496475,17.797187520496475,17.797187520496475,3537.0,16.03018679498084,0.0,123.21850582017807,25.826029494333874,9.534371527759518,3.0420712120271567,13.249586754547199,85.10463692829777
2007-08-26,2113.181955048856,16.358600950042664,16.358600950042664,12.25331062746202,4552.0,5.341365573853157,0.0,194.54775694796638,337.0440309354462,5.099699224492518,5.099699224492518,3.9035701922344535,975.0,1.4097520146158624,0.0,105.82873079508946,1479.4103277261959,17.90018507843146,17.90018507843146,17.90018507843146,3537.0,16.07940443942352,0.0,119.67138646091952,25.36549566483065,9.136148377577985,2.9797605327054644,13.249586754547199,85.10894685819021
2007-08-27,2103.994482800193,16.026521798928343,16.026521798928343,11.963554056992859,4552.0,5.343335149409652,0.0,189.00416014350353,334.98176462764354,4.977163674821647,4.977163674821647,3.8100669006280983,975.0,1.4072900451702426,0.0,102.78304499356162,1465.3547068160724,17.93206334811688,17.93206334811688,17.93206334811688,3537.0,16.128622083866205,0.0,115.92250527455633,25.621056220178794,9.38684682997685,2.984622635654743,13.249586754547199,85.14057225631143
2007-08-28,2095.480300294086,14.477674182455026,14.477674182455026,10.457029021164704,4552.0,5.345269760540869,0.0,183.31741759087615,333.4746641381872,4.474440426364006,4.474440426364006,3.3363759102349735,975.0,1.404871781256222,0.0,99.71131384666533,1451.3196409679035,17.804945261253128,17.804945261253128,17.804945261253128,3537.0,16.177839728308882,0.0,112.06574666948029,26.655540283621125,10.316735353898554,3.089218175175372,13.249586754547199,85.1529762125112
2007-08-29,2089.9674181371506,12.393142226349878,12.393142226349878,8.407872242187363,4552.0,5.346791544323663,0.0,177.91914084496636,332.68832913509135,3.798183625608133,3.798183625608133,2.6891513675436167,975.0,1.4029695515277294,0.0,96.72574871268364,1437.361960174528,17.51655074867488,17.51655074867488,17.51655074867488,3537.0,16.227057372751563,0.0,108.41838399988663,27.97291320245994,11.449688420786938,3.273638027125804,13.249586754547199,85.10369740619153
2007-08-30,2080.972333310685,15.385529544591481,15.385529544591481,11.449529544591481,4552.0,5.348209466495385,0.0,172.5461614685726,331.0205802072629,4.722122764874069,4.722122764874069,3.6421227648740686,975.0,1.4011971488130763,0.0,93.77081240969984,1423.1565555454558,18.04614458778651,18.04614458778651,18.04614458778651,3537.0,16.27627501719424,0.0,104.79929958140706,26.13217707433878,9.90484935952492,2.97774096026666,13.249586754547199,84.98984013466777
2007-08-31,2071.6593272193572,16.325693152004288,16.325693152004288,12.411559818670954,4552.0,5.34995392268711,0.0,167.49934417184633,329.04891267664607,5.014140541236317,5.014140541236317,3.9401405412363175,975.0,1.3990165785734214,0.0,90.71054969115232,1408.6222619474047,18.239469695576044,18.239469695576044,18.239469695576044,3537.0,16.325492661636922,0.0,101.32869048425857,25.584227921890673,9.454007237126984,2.88063393021649,13.249586754547199,84.97584540813213
2007-09-01,2064.953882602082,13.686325711763752,13.686325711763752,9.794059045097086,4552.0,6.33738373367107,0.0,166.8461065500587,327.64909980322176,4.196630136298543,4.196630136298543,3.128630136298543,975.0,1.652332618123471,0.0,87.80561014663394,1394.1934039045955,17.816231620457103,17.816231620457103,17.816231620457103,3537.0,16.617927499033843,0.0,97.57236505964221,26.84735056047225,10.641181827688747,2.9565819782363043,13.249586754547199,84.99270529290996
2007-09-02,2055.393873057928,15.835051489834019,15.835051489834019,11.458786738685664,4552.0,4.982237982545853,0.0,161.37943957184658,326.47951341915405,3.966020207718026,3.966020207718026,2.904020207718026,975.0,0.9826317812015783,0.0,84.49568887299127,1380.2785693323196,17.38499941850296,17.38499941850296,17.38499941850296,3537.0,14.773045111803691,0.0,94.24928884693679,24.88896340125033,8.954054815869892,2.6853218308332387,13.249586754547199,84.9322448446197
2007-09-03,2045.987173369978,15.750114020880323,15.750114020880323,11.380097560508222,4552.0,4.981294610409926,0.0,156.04054527557332,325.3478309722962,3.9257493602132323,3.9257493602132323,2.8697493602132322,975.0,0.9831708509935362,0.0,81.5872800098095,1366.6080253900607,17.290057432005135,17.290057432005135,17.290057432005135,3537.0,14.589955474476922,0.0,91.23319166310495,24.91312750438195,8.923472435272036,2.7400683145627145,13.249586754547199,84.98659028251669
2007-09-04,2036.7255133620138,15.679944236716128,15.679944236716128,11.317683712571451,4552.0,4.980451755348918,0.0,150.98114278853,324.2405231241401,3.8910739669323773,3.8910739669323773,2.8410739669323775,975.0,0.9836524824569697,0.0,78.6703054323497,1352.41232052526,17.185199490855933,17.185199490855933,17.185199490855933,3537.0,14.406865837150152,0.0,87.82861901427101,24.91156048697704,8.866798193294525,2.7951755391353164,13.249586754547199,85.04015619860488
2007-09-05,2029.0327421035881,13.790253089077755,13.790253089077755,9.272788852262902,4552.0,4.979477984717672,0.0,145.4594759099777,323.87095523199866,3.2239444579941456,3.2239444579941456,2.1799444579941456,975.0,0.9842089228176815,0.0,75.75977100957613,1338.7039247578946,16.216668758450826,16.216668758450826,16.216668758450826,3537.0,14.223776199823385,0.0,84.94802787450598,25.648245047318113,9.194457073477189,3.2042012192937257,13.249586754547199,85.09489061098834
